Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
eadigan,1.0,489.71594,-0.23334979,-1.0
ealdfeondum,1.0,489.71594,-0.23334979,-1.0
ealdgeniðlan,1.0,489.71594,-0.23334979,-1.0
ealdhettende,1.0,489.71594,-0.23334979,-1.0
ealdorduguðe,1.0,489.71594,-0.23334979,-1.0
ealdorþegnum,1.0,489.71594,-0.23334979,-1.0
ealdre,1.0,489.71594,-0.23334979,-1.0
eall,1.0,489.71594,-0.23334979,-1.0
eallgylden,1.0,489.71594,-0.23334979,-1.0
ealne,1.0,489.71594,-0.23334979,-1.0
ealra,1.0,489.71594,-0.23334979,-1.0
earn,1.0,489.71594,-0.23334979,-1.0
eastan,1.0,489.71594,-0.23334979,-1.0
eaðmedum,1.0,489.71594,-0.23334979,-1.0
ebreas,1.0,489.71594,-0.23334979,-1.0
ecgplegan,1.0,489.71594,-0.23334979,-1.0
ecgum,1.0,489.71594,-0.23334979,-1.0
edwit,1.0,489.71594,-0.23334979,-1.0
egesa,1.0,489.71594,-0.23334979,-1.0
egesful,1.0,489.71594,-0.23334979,-1.0
egesfull,1.0,489.71594,-0.23334979,-1.0
eglan,1.0,489.71594,-0.23334979,-1.0
ehton,1.0,489.71594,-0.23334979,-1.0
ellendæda,1.0,489.71594,-0.23334979,-1.0
ellenþriste,1.0,489.71594,-0.23334979,-1.0
ellor,1.0,489.71594,-0.23334979,-1.0
elne,1.0,489.71594,-0.23334979,-1.0
elðeoda,1.0,489.71594,-0.23334979,-1.0
elðeodigra,1.0,489.71594,-0.23334979,-1.0
eorðan,1.0,489.71594,-0.23334979,-1.0
eowdon,1.0,489.71594,-0.23334979,-1.0
eowere,1.0,489.71594,-0.23334979,-1.0
eðelweardas,1.0,489.71594,-0.23334979,-1.0
eðle,1.0,489.71594,-0.23334979,-1.0
feaht,1.0,489.71594,-0.23334979,-1.0
feax,1.0,489.71594,-0.23334979,-1.0
feaxe,1.0,489.71594,-0.23334979,-1.0
feng,1.0,489.71594,-0.23334979,-1.0
feondsceaðan,1.0,489.71594,-0.23334979,-1.0
feorran,1.0,489.71594,-0.23334979,-1.0
feorðan,1.0,489.71594,-0.23334979,-1.0
feran,1.0,489.71594,-0.23334979,-1.0
ferhðgleawe,1.0,489.71594,-0.23334979,-1.0
fetigan,1.0,489.71594,-0.23334979,-1.0
feðelaste,1.0,489.71594,-0.23334979,-1.0
flana,1.0,489.71594,-0.23334979,-1.0
fleah,1.0,489.71594,-0.23334979,-1.0
fleam,1.0,489.71594,-0.23334979,-1.0
fleogan,1.0,489.71594,-0.23334979,-1.0
fleohnet,1.0,489.71594,-0.23334979,-1.0
flore,1.0,489.71594,-0.23334979,-1.0
flugon,1.0,489.71594,-0.23334979,-1.0
folces,1.0,489.71594,-0.23334979,-1.0
folcstede,1.0,489.71594,-0.23334979,-1.0
foldan,1.0,489.71594,-0.23334979,-1.0
folme,1.0,489.71594,-0.23334979,-1.0
folmum,1.0,489.71594,-0.23334979,-1.0
forbiged,1.0,489.71594,-0.23334979,-1.0
forcearf,1.0,489.71594,-0.23334979,-1.0
fordraf,1.0,489.71594,-0.23334979,-1.0
foregenga,1.0,489.71594,-0.23334979,-1.0
foremærne,1.0,489.71594,-0.23334979,-1.0
forgif,1.0,489.71594,-0.23334979,-1.0
forgolden,1.0,489.71594,-0.23334979,-1.0
forhtlice,1.0,489.71594,-0.23334979,-1.0
forleosan,1.0,489.71594,-0.23334979,-1.0
forleton,1.0,489.71594,-0.23334979,-1.0
forlęton,1.0,489.71594,-0.23334979,-1.0
foron,1.0,489.71594,-0.23334979,-1.0
forweorðan,1.0,489.71594,-0.23334979,-1.0
forwyrd,1.0,489.71594,-0.23334979,-1.0
forðylmed,1.0,489.71594,-0.23334979,-1.0
frea,1.0,489.71594,-0.23334979,-1.0
fremedon,1.0,489.71594,-0.23334979,-1.0
freorig,1.0,489.71594,-0.23334979,-1.0
frumgaras,1.0,489.71594,-0.23334979,-1.0
fugel,1.0,489.71594,-0.23334979,-1.0
fuglum,1.0,489.71594,-0.23334979,-1.0
fuhton,1.0,489.71594,-0.23334979,-1.0
fula,1.0,489.71594,-0.23334979,-1.0
fulle,1.0,489.71594,-0.23334979,-1.0
fundon,1.0,489.71594,-0.23334979,-1.0
fylgan,1.0,489.71594,-0.23334979,-1.0
fyllan,1.0,489.71594,-0.23334979,-1.0
